,train_volatility_class,test_volatility_class,period_volatility_class,train_volatility,test_volatility,period_volatility
BTC,"['low', 'low', 'low', 'low', 'normal']","['low', 'low', 'normal', 'normal', 'low']","['low', 'low', 'low', 'normal', 'normal']","[0.04632456312332168, 0.03446114403223535, 0.03716570111002687, 0.045842049619877145, 0.060149140102700616]","[0.03722602755542615, 0.045031806011509204, 0.05526831529269609, 0.08014729900389654, 0.05193527606352541]","[0.043908677876171684, 0.03710380952705381, 0.04169135465569417, 0.05441836196588199, 0.05809567409290682]"
ETH,"['normal', 'normal', 'low', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.07356224119540643, 0.05372503659651591, 0.0525416496505049, 0.056490080278011945, 0.0654772552972758]","[0.05147189640147257, 0.05947239284071589, 0.05852595159184736, 0.07843342145926414, 0.05317479752126514]","[0.0676967106719636, 0.0551618756575659, 0.05403772513584052, 0.06197591557332499, 0.06240164085327313]"
BNB,"['normal', 'normal', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'low']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.07334951024065425, 0.05638464197435226, 0.055730146509075096, 0.05622499635823987, 0.06301924536886]","[0.05061590996908441, 0.060478793574559694, 0.05758028553107549, 0.0709986570009448, 0.043012183755672145]","[0.06731317954756078, 0.05740817987440412, 0.05619268126457519, 0.059918411518916116, 0.05801747996556304]"
XRP,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.0821818019242986, 0.06467556139558743, 0.06020263405121626, 0.060254466540852376, 0.06601450673417557]","[0.06849702562039539, 0.05830743426411457, 0.053958939738047225, 0.08577714620036492, 0.09168912628960271]","[0.07854815682433286, 0.06308352961271921, 0.058641710472924, 0.06663513645573052, 0.07243316162303236]"
ADA,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.07363163011637175, 0.06482342638444173, 0.07337167701702885, 0.07849845699899693, 0.08296385116738283]","[0.07944123189683895, 0.08138803866766536, 0.07466610043248648, 0.09283741440199668, 0.0729426145844004]","[0.07517422245208466, 0.06896457945524764, 0.07369528287089325, 0.08208319634974687, 0.08045854202163723]"
DOGE,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'high']","['high', 'normal', 'normal', 'normal', 'normal']","[0.12201744926412109, 0.09005902537229891, 0.08121898130742568, 0.07741870383945443, 0.08458979816583062]","[0.07539356618287402, 0.08782396115721552, 0.06903858417827377, 0.09690684916200255, 0.12275050621620957]","[0.1096376601804495, 0.08950025931852808, 0.0781738820251377, 0.08229074017009147, 0.09412997517842535]"
MATIC,"['high', 'normal', 'normal', 'normal', 'high']","['normal', 'high', 'normal', 'high', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.10584577461102404, 0.06400570463919833, 0.0740595519703308, 0.08657768617056288, 0.10171057633230705]","[0.06380134589682993, 0.10243029085777741, 0.09350142175708136, 0.10920001638206239, 0.0629936051961891]","[0.09468194343209455, 0.07361185119384311, 0.07892001941701843, 0.09223326872343778, 0.09203133354827756]"
LINK,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.09775959445343557, 0.06848410787389919, 0.0670134689195426, 0.07874867288828653, 0.08952081884961485]","[0.06357307473375191, 0.08102674950310816, 0.09164619442799951, 0.09588951261773684, 0.0646481495777778]","[0.0886822316156609, 0.07161976828120144, 0.07317165029665681, 0.08303388282064911, 0.08330265153165557]"
ETC,"['normal', 'normal', 'normal', 'normal', 'normal']","['high', 'normal', 'normal', 'high', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.08898831528781866, 0.08096064088584962, 0.0850272298279704, 0.08458755587182136, 0.08944076409601974]","[0.09830715674807773, 0.0841687958139858, 0.07128671505340055, 0.11286678142067288, 0.06982562970474106]","[0.09146269717448273, 0.08176267961788367, 0.08159210113432794, 0.09165736225903424, 0.08453698049820008]"
XLM,"['normal', 'low', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.06649127817160252, 0.05040685770923896, 0.05373545782426896, 0.0565401754284259, 0.06411991177290315]","[0.04882638325873837, 0.06006111095526015, 0.06073303207127917, 0.07156559229217012, 0.07239660279734775]","[0.06180081356947156, 0.05282042102074427, 0.055484851386021515, 0.06029652964436196, 0.0661890845290143]"
LTC,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']","['high', 'normal', 'normal', 'normal', 'normal']","[0.10605111615704987, 0.08294833657058412, 0.06975312375859487, 0.07099401664864982, 0.08828047664259538]","[0.06767367270127282, 0.07685185016410875, 0.06845652708056792, 0.11953305268310947, 0.07011334252547995]","[0.09586095986472364, 0.08142421496896528, 0.06942897458908812, 0.08312877565726474, 0.08373869311331653]"
TRX,"['normal', 'low', 'low', 'low', 'normal']","['normal', 'low', 'low', 'normal', 'normal']","['normal', 'low', 'low', 'normal', 'normal']","[0.05841957810656534, 0.04827609850444021, 0.049316077085316976, 0.05122113713626436, 0.06082455995913014]","[0.05968244065262075, 0.04664408130499599, 0.04733688945117636, 0.08849270912121807, 0.05739557834214698]","[0.05875489921087127, 0.047868094204579145, 0.048821280176781806, 0.06053903013250279, 0.05996731455488434]"
ATOM,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.08454744038499494, 0.06624938278500077, 0.07068735678447816, 0.07604011696004384, 0.0863289416286992]","[0.07028347941073729, 0.08297885074682274, 0.07485802072257147, 0.10114995341670341, 0.06628336383622851]","[0.08076000749247257, 0.07043174977545626, 0.07173002276900148, 0.08231757607420873, 0.08131754718058154]"
XMR,"['normal', 'low', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.05889495291709049, 0.05087192372352981, 0.05372741956186858, 0.06033608703132945, 0.06518902845771081]","[0.05833868317966225, 0.06177919562198019, 0.0608903822923459, 0.07289750745880633, 0.05604251580607832]","[0.05874724960351211, 0.05359874169814241, 0.055518160244487906, 0.06347644213819867, 0.0629024002948027]"
VET,"['normal', 'normal', 'normal', 'normal', 'high']","['normal', 'normal', 'high', 'high', 'normal']","['normal', 'normal', 'normal', 'high', 'high']","[0.0757924991209769, 0.05926206619896295, 0.06981541082212611, 0.08865278139526503, 0.10670035982824977]","[0.06421121709193053, 0.08712839040062613, 0.11461873669323841, 0.11835395239088478, 0.06253122531799132]","[0.0727173835500952, 0.06622864724937876, 0.08101624228990419, 0.09607807414416995, 0.09565807620068517]"
ALGO,"['high', 'normal', 'normal', 'normal', 'high']","['normal', 'high', 'high', 'high', 'normal']","['high', 'normal', 'normal', 'normal', 'high']","[0.11712216313567954, 0.07678596313504749, 0.08356566810390875, 0.0898790233373281, 0.10107824099409918]","[0.07199260283930817, 0.0998533701076635, 0.09779109706501263, 0.1055902558096214, 0.07732012407719992]","[0.105139153549491, 0.08255281487820149, 0.08712202534418471, 0.09380683145540142, 0.09513871176487436]"
EOS,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.07770423812783678, 0.059747532398778905, 0.06218345807831865, 0.07080996854875848, 0.09103314546756693]","[0.0532830673908931, 0.0720666036288136, 0.08708023462656873, 0.11395259814731844, 0.06661330236847261]","[0.07121981591931212, 0.06282730020628759, 0.06840765221538118, 0.08159562594839848, 0.08492818469279334]"
CHZ,"['high', 'high', 'high', 'high', 'high']","['normal', 'high', 'normal', 'high', 'normal']","['high', 'high', 'normal', 'high', 'normal']","[0.13991686355241797, 0.09542562025995112, 0.09539444811148795, 0.09527778671055118, 0.09771585036663027]","[0.09165811576024886, 0.10598710027499793, 0.08818814409640677, 0.09897230672848616, 0.07929567878364394]","[0.12710297762901548, 0.09806599026371282, 0.09359287210771766, 0.09620141671503493, 0.0931108074708837]"
IOTA,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.07253461895225659, 0.06112679131206143, 0.07249939838460746, 0.07818272703956534, 0.09018741451717474]","[0.06371689166016169, 0.09121058096987393, 0.07962070848866042, 0.0997309540929899, 0.07084330845288722]","[0.07019329521731063, 0.06864773872651456, 0.07427972591062071, 0.08356978380292147, 0.08535138800110287]"
NEO,"['normal', 'normal', 'normal', 'high', 'high']","['normal', 'normal', 'high', 'high', 'normal']","['normal', 'normal', 'normal', 'high', 'high']","[0.0793814433317614, 0.06598416335846252, 0.07296177856140623, 0.10398615236390857, 0.12664111351623322]","[0.07101374006410242, 0.08307660497790152, 0.1578681120497218, 0.13897862352107646, 0.08858427543536453]","[0.07715961205726525, 0.07025727376332226, 0.09418836193348513, 0.11273427015320052, 0.11712690399601607]"
XTZ,"['normal', 'normal', 'normal', 'normal', 'high']","['normal', 'normal', 'high', 'high', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']","[0.07995345638866408, 0.06531899330911195, 0.07195101863882812, 0.08298414175545454, 0.10061025989827559]","[0.06316250316657342, 0.08428028886702357, 0.10150963323276664, 0.11604085759503656, 0.06460867132444098]","[0.07549504482648156, 0.07005931719858985, 0.07934067228731274, 0.09124832071535004, 0.09160986275481693]"
